pair,key,layer_idx,rel_depth,sub_module,shape,fro_delta,sigma_1_delta,stable_rank_delta,effective_rank_top64_delta,top_align_with_W_LLM
qwen3,model.layers.11.self_attn.o_proj.weight,11,0.3142857142857143,self_attn.o_proj,,19.396060943603516,1.3825139999389648,196.82850976446494,58.40953421445109,0.02393900230526924
qwen3,model.layers.11.self_attn.q_proj.weight,11,0.3142857142857143,self_attn.q_proj,,23.746797561645508,3.7542309761047363,40.00996048415414,46.03453871271546,0.08353572338819504
qwen3,model.layers.11.self_attn.v_proj.weight,11,0.3142857142857143,self_attn.v_proj,,9.813151359558105,0.8059741258621216,148.24320480781114,59.253043756646406,0.006734631489962339
qwen3,model.layers.12.mlp.down_proj.weight,12,0.34285714285714286,mlp.down_proj,,34.943603515625,1.301482081413269,720.8733853802747,61.708209249981074,0.11309794336557388
qwen3,model.layers.12.mlp.gate_proj.weight,12,0.34285714285714286,mlp.gate_proj,,39.639163970947266,2.8712997436523438,190.58640059561253,54.35971520112227,0.10176354646682739
qwen3,model.layers.12.mlp.up_proj.weight,12,0.34285714285714286,mlp.up_proj,,34.71326446533203,2.3850162029266357,211.84013591102783,54.84224612353771,0.0025625061243772507
qwen3,model.layers.12.self_attn.k_proj.weight,12,0.34285714285714286,self_attn.k_proj,,11.92586898803711,1.9700802564620972,36.64478946070145,50.91708019474571,0.027681194245815277
qwen3,model.layers.12.self_attn.o_proj.weight,12,0.34285714285714286,self_attn.o_proj,,18.71928596496582,1.252813696861267,223.2572505422728,58.745722722007606,0.031642623245716095
qwen3,model.layers.12.self_attn.q_proj.weight,12,0.34285714285714286,self_attn.q_proj,,24.451099395751953,3.8047678470611572,41.29908753899136,47.349853898129744,0.08175802230834961
qwen3,model.layers.12.self_attn.v_proj.weight,12,0.34285714285714286,self_attn.v_proj,,9.374579429626465,0.8683055639266968,116.5623832483184,59.03782887164074,0.0009004315361380577
qwen3,model.layers.13.mlp.down_proj.weight,13,0.37142857142857144,mlp.down_proj,,35.628517150878906,1.349389910697937,697.1409240503807,61.53226505071851,0.06031322851777077
qwen3,model.layers.13.mlp.gate_proj.weight,13,0.37142857142857144,mlp.gate_proj,,39.916778564453125,2.89194655418396,190.5155568908306,54.28217684228794,0.09194068610668182
qwen3,model.layers.13.mlp.up_proj.weight,13,0.37142857142857144,mlp.up_proj,,35.569419860839844,2.5216729640960693,198.96470362694387,54.579174234396795,0.007110760547220707
qwen3,model.layers.13.self_attn.k_proj.weight,13,0.37142857142857144,self_attn.k_proj,,11.888657569885254,1.542466402053833,59.40653340197489,55.91740623460069,0.05052565038204193
qwen3,model.layers.13.self_attn.o_proj.weight,13,0.37142857142857144,self_attn.o_proj,,19.32063865661621,1.381722092628479,195.52466617977592,58.52261057501721,0.03437009081244469
qwen3,model.layers.13.self_attn.q_proj.weight,13,0.37142857142857144,self_attn.q_proj,,24.20116424560547,3.900860548019409,38.49033298201711,46.81230551518255,0.1474059522151947
qwen3,model.layers.13.self_attn.v_proj.weight,13,0.37142857142857144,self_attn.v_proj,,9.859481811523438,0.8089655637741089,148.54160446067343,59.1606967863762,0.007335192058235407
qwen3,model.layers.14.mlp.down_proj.weight,14,0.4,mlp.down_proj,,35.52668380737305,1.288830280303955,759.832524290359,61.96364322293643,0.08584602922201157
qwen3,model.layers.14.mlp.gate_proj.weight,14,0.4,mlp.gate_proj,,40.76085662841797,2.8274805545806885,207.82000523042302,55.160085399338136,0.09133286774158478
qwen3,model.layers.14.mlp.up_proj.weight,14,0.4,mlp.up_proj,,35.431705474853516,2.441838264465332,210.54761412389163,55.24163038351118,0.0341927744448185
qwen3,model.layers.14.self_attn.k_proj.weight,14,0.4,self_attn.k_proj,,11.707135200500488,2.2798514366149902,26.368666791455404,44.08496284803624,0.021618954837322235
qwen3,model.layers.14.self_attn.o_proj.weight,14,0.4,self_attn.o_proj,,17.07076644897461,1.008368730545044,286.5941371296344,59.33662162626029,0.015314778313040733
qwen3,model.layers.14.self_attn.q_proj.weight,14,0.4,self_attn.q_proj,,24.202476501464844,3.978403329849243,37.008543618462475,44.25601873364984,0.02746640518307686
qwen3,model.layers.14.self_attn.v_proj.weight,14,0.4,self_attn.v_proj,,8.627248764038086,0.7351551651954651,137.7167027209491,58.56305998686116,0.005343049764633179
qwen3,model.layers.15.mlp.down_proj.weight,15,0.42857142857142855,mlp.down_proj,,36.39690399169922,1.4130549430847168,663.4539573845084,61.653327054613904,0.08057326078414917
qwen3,model.layers.15.mlp.gate_proj.weight,15,0.42857142857142855,mlp.gate_proj,,40.985313415527344,2.8790054321289062,202.6616398118919,55.2702444022698,0.06304830312728882
qwen3,model.layers.15.mlp.up_proj.weight,15,0.42857142857142855,mlp.up_proj,,36.54682540893555,2.525181770324707,209.46623477471334,55.22235194440827,0.003963172435760498
qwen3,model.layers.15.self_attn.k_proj.weight,15,0.42857142857142855,self_attn.k_proj,,11.956533432006836,1.9279667139053345,38.46019677254692,51.05755858881796,0.029492441564798355
qwen3,model.layers.15.self_attn.o_proj.weight,15,0.42857142857142855,self_attn.o_proj,,17.307043075561523,0.8395320773124695,424.9826106826536,61.27188914407132,0.06911032646894455
qwen3,model.layers.15.self_attn.q_proj.weight,15,0.42857142857142855,self_attn.q_proj,,24.402935028076172,3.6219329833984375,45.39450728988652,47.19540073773347,0.08864819258451462
