pair,key,layer_idx,rel_depth,sub_module,shape,numel,norm_llm,norm_delta,rel_diff
qwen25,model.layers.1.mlp.up_proj.weight,1,0.037037037037037035,mlp.up_proj,18944x3584,67895296,100.75936889648438,64.072265625,0.6358938759414516
qwen25,model.layers.1.post_attention_layernorm.weight,1,0.037037037037037035,post_attention_layernorm,3584,3584,46.6443977355957,2.765019178390503,0.05927869824933844
qwen25,model.layers.1.self_attn.k_proj.bias,1,0.037037037037037035,self_attn.k_proj.bias,512,512,158.273681640625,2.9947142601013184,0.018921113283389045
qwen25,model.layers.1.self_attn.k_proj.weight,1,0.037037037037037035,self_attn.k_proj,512x3584,1835008,29.88985252380371,15.067134857177734,0.5040886315908903
qwen25,model.layers.1.self_attn.o_proj.weight,1,0.037037037037037035,self_attn.o_proj,3584x3584,12845056,51.73581314086914,31.648284912109375,0.6117287617754392
qwen25,model.layers.1.self_attn.q_proj.bias,1,0.037037037037037035,self_attn.q_proj.bias,3584,3584,57.64816665649414,1.1070985794067383,0.01920440221461964
qwen25,model.layers.1.self_attn.q_proj.weight,1,0.037037037037037035,self_attn.q_proj,3584x3584,12845056,56.71851348876953,37.52495193481445,0.6615997075142762
qwen25,model.layers.1.self_attn.v_proj.bias,1,0.037037037037037035,self_attn.v_proj.bias,512,512,2.000793933868408,0.040296521037817,0.020140265499459124
qwen25,model.layers.1.self_attn.v_proj.weight,1,0.037037037037037035,self_attn.v_proj,512x3584,1835008,18.311481475830078,9.966914176940918,0.5442986243410493
qwen25,model.layers.2.input_layernorm.weight,2,0.07407407407407407,input_layernorm,3584,3584,26.16549301147461,1.1332485675811768,0.04331080507767242
qwen25,model.layers.2.mlp.down_proj.weight,2,0.07407407407407407,mlp.down_proj,3584x18944,67895296,114.77550506591797,63.907039642333984,0.5568003347546224
qwen25,model.layers.2.mlp.gate_proj.weight,2,0.07407407407407407,mlp.gate_proj,18944x3584,67895296,137.99209594726562,78.36128234863281,0.5678679043948935
qwen25,model.layers.2.mlp.up_proj.weight,2,0.07407407407407407,mlp.up_proj,18944x3584,67895296,111.89690399169922,72.57832336425781,0.6486177970539904
qwen25,model.layers.2.post_attention_layernorm.weight,2,0.07407407407407407,post_attention_layernorm,3584,3584,47.727813720703125,2.8909389972686768,0.060571368598320276
qwen25,model.layers.2.self_attn.k_proj.bias,2,0.07407407407407407,self_attn.k_proj.bias,512,512,64.38502502441406,2.14144229888916,0.03325994356726816
qwen25,model.layers.2.self_attn.k_proj.weight,2,0.07407407407407407,self_attn.k_proj,512x3584,1835008,31.770132064819336,14.975183486938477,0.47136044182583836
qwen25,model.layers.2.self_attn.o_proj.weight,2,0.07407407407407407,self_attn.o_proj,3584x3584,12845056,50.620033264160156,30.457857131958008,0.6016957154692881
qwen25,model.layers.2.self_attn.q_proj.bias,2,0.07407407407407407,self_attn.q_proj.bias,3584,3584,58.40727615356445,1.0691347122192383,0.01830482060845071
